Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC1,PC2,PC3,Class,CoinName
X11,PoW/PoS,17650913.97,22000000.0,-0.39884358109762813,1.239473582056454,-0.4779728784627232,0,IOCoin
SHA-256,PoW,21089349.0,21000000.0,-0.14296297596068627,-1.26718953039497,0.2034828532704023,1,IXcoin
Scrypt,PoW,151447649.8,265420800.0,-0.16417768777066555,-1.1518285439671776,-0.06823322202260375,1,KrugerCoin
Scrypt,PoW,19326319.14,20000000.0,-0.1675332192589974,-1.1517354718279424,-0.0681599336450004,1,LuckyCoin
Scrypt,PoW,1104344.229,1350000.0,-0.16788822537449027,-1.151730912004615,-0.0681510850663451,1,Litebar 
SHA3,PoW/PoS,61445805.0,100000000.0,-0.3993157037451593,2.027223738038666,-0.5481028559020833,0,MaxCoin
Scrypt,PoW,38151999.99,42000000.0,-0.1671470755835954,-1.1517416705723282,-0.06816930175356231,1,MegaCoin
HybridScryptHash256,PoW,40431856.9,200000000.0,-0.14946068044779948,-2.1684512051742013,0.3183249510494467,1,MediterraneanCoin
Scrypt,PoS,21293925445.0,0.0,-0.026525868012984222,0.8012429677245853,-0.24663082890048563,0,MintCoin
Scrypt,PoW,5804204.888,10000000.0,-0.16776943003689615,-1.1517341791287543,-0.06815368545937053,1,MinCoin
SHA-256,PoW/PoS,1613836100.0,2419200000.0,-0.2747780978068668,0.9023009305963418,-0.32142678958913357,0,MazaCoin
Scrypt,PoS,16180000.0,16180000.0,-0.2865056923802124,0.7946990557803348,-0.23810410124578482,0,Nautilus Coin
X13,PoW/PoS,66087096.21,0.0,-0.27078009559456656,1.8619759338841535,-0.5397892505376812,0,NavCoin
Scrypt,PoW,2366066306.0,15000000000.0,-0.032609960595081935,-1.1591725014323617,-0.07034167721049148,1,NobleCoin
SHA-256,PoW,14736400.0,21000000.0,-0.14304063303928863,-1.2671914815961112,0.2034853995168007,1,Namecoin
Scrypt,PoW,334709223.5,337000000.0,-0.16142990264148743,-1.1518112387841835,-0.06831260354543775,1,NyanCoin
X13,PoW/PoS,15156364.33,0.0,-0.2714026618781731,1.861960291368817,-0.5397688376250919,0,OpalCoin
NeoScrypt,PoW/PoS,3220616.279,3770000.0,-0.3582106900575687,0.5517826698690504,-0.35104218063360965,0,Orbitcoin
Scrypt,PoW/PoS,222677226.0,420000000.0,-0.33050312465131904,1.0184164371257858,-0.5923471481216468,0,PotCoin
Scrypt,PoW/PoS,73959274.63,98000000.0,-0.3346046245083571,1.0185461153057511,-0.5922608628484642,0,PhoenixCoin
